dataset,model,loss,ls,mixup,augmix,accuracy,ece,adaece,classece,brier,loss_val
cifar10,resnet50,dual_focal,0.0,0.2,False,10.24,0.0024,,,,2.6418
cifar100,resnet50,bsce_gra,0.0,0.0,False,41.26,0.045,,,,2.0968
cifar10,resnet50,bsce_gra,0.0,0.0,False,72.16,0.1669,,,,0.6331
cifar10,resnet50,dual_focal,0.1,0.0,False,67.56,0.1916,,,,1.153
cifar10,resnet50,cross_entropy,0.1,0.0,False,75.28,0.0633,,,,0.0549
cifar10,resnet50,focal,0.0,0.0,False,69.84,0.1221,,,,0.4911
cifar100,resnet50,dual_focal,0.1,0.0,False,31.68,0.156,,,,3.1053
cifar100,resnet50,cross_entropy,0.1,0.0,False,24.76,0.124,,,,0.0267
cifar10,resnet50,focal,0.1,0.0,False,70.82,0.1324,,,,0.4865
cifar100,resnet50,cross_entropy,0.0,0.0,False,40.34,0.0572,,,,2.2798
cifar100,resnet50,cross_entropy,0.0,0.2,False,41.46,0.0191,,,,2.2523
cifar10,resnet50,cross_entropy,0.0,0.0,True,70.9,0.0267,,,,0.8236
cifar100,resnet50,dual_focal,0.0,0.0,True,35.26,0.1497,,,,2.9843
cifar10,resnet50,cross_entropy,0.0,0.0,False,67.56,0.0207,,,,0.9168
cifar100,resnet50,dual_focal,0.0,0.0,False,34.74,0.1403,,,,2.9751
cifar100,resnet50,bsce_gra,0.1,0.0,False,36.12,0.055,,,,2.3103
cifar100,resnet50,focal,0.0,0.0,True,40.38,0.0096,,,,1.9034
cifar10,resnet50,bsce_gra,0.0,0.0,True,71.74,0.1516,,,,0.648
cifar100,resnet50,bsce_gra,0.0,0.2,False,38.42,0.1055,,,,2.247
cifar10,resnet50,focal,0.0,0.0,True,69.54,0.1178,,,,0.4983
cifar10,resnet50,dual_focal,0.0,0.0,True,69.82,0.1571,,,,1.0942
cifar100,resnet50,focal,0.0,0.2,False,39.66,0.0861,,,,2.0262
cifar10,resnet50,cross_entropy,0.0,0.2,False,69.8,0.0631,,,,0.9272
cifar10,resnet50,bsce_gra,0.1,0.0,False,69.82,0.157,,,,0.668
cifar10,resnet50,dual_focal,0.0,0.0,False,9.8,0.0067,,,,2.3255
cifar10,resnet50,focal,0.0,0.2,False,71.28,0.1507,,,,0.5033
cifar100,resnet50,bsce_gra,0.0,0.0,True,16.42,0.0213,,,,3.2914
cifar10,resnet50,bsce_gra,0.0,0.2,False,71.74,0.2665,,,,0.7138
cifar100,resnet50,focal,0.1,0.0,False,40.86,0.025,,,,1.8553
cifar100,resnet50,cross_entropy,0.0,0.0,True,40.5,0.048,,,,2.2975
cifar100,resnet50,focal,0.0,0.0,False,41.34,0.0216,,,,1.8145
cifar100,resnet50,dual_focal,0.0,0.2,False,34.36,0.1882,,,,3.0526
otto,mlp,dual_focal,0.0,0.0,True,73.3678,0.193,,,,0.7759
